Company_Name,rating_count,interLinking,Highly Rated For,Critically Rated For,reviews_count,jobs_count
TCS,3.5,IT Services & Consulting | Bangalore / Bengaluru +419 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",100000,780
Accenture,3.7,IT Services & Consulting | Bangalore / Bengaluru +235 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",66500,34100
Wipro,3.7,IT Services & Consulting | Bangalore / Bengaluru +362 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",59700,6500
Cognizant,3.7,IT Services & Consulting | Hyderabad / Secunderabad +219 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",56700,398
Capgemini,3.7,IT Services & Consulting | Bangalore / Bengaluru +177 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",48500,2100
HDFC Bank,3.8,Banking | Mumbai +1742 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal,46300,215
Infosys,3.5,IT Services & Consulting | Bangalore / Bengaluru +234 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",44700,2000
ICICI Bank,4.0,Banking | Mumbai +1397 other locations,"Job Security, Skill Development / Learning, Company Culture",,42500,8
HCLTech,3.4,IT Services & Consulting | Chennai +218 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",41700,296
Tech Mahindra,3.4,IT Services & Consulting | Hyderabad / Secunderabad +325 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",39900,615
Genpact,3.7,IT Services & Consulting | Hyderabad / Secunderabad +166 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits",38000,404
Teleperformance,3.9,BPO | Mumbai +243 other locations,"Work Life Balance, Job Security, Skill Development / Learning",,34000,620
Axis Bank,3.7,Banking | Mumbai +1462 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction",29800,995
Concentrix Corporation,3.6,BPO | Bangalore / Bengaluru +169 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",29700,116
Amazon,4.0,Internet | Bangalore / Bengaluru +504 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,28700,1700
Jio,4.3,Telecom | Mumbai +1741 other locations,"Job Security, Work Life Balance, Skill Development / Learning",,28500,62
iEnergizer,4.7,BPO | Noida +47 other locations,"Company Culture, Work Life Balance, Work Satisfaction",,26400,35
Reliance Retail,3.9,Retail | Mumbai +1114 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal,25200,87
IBM,3.9,IT Services & Consulting | Bangalore / Bengaluru +157 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,24300,3000
LTIMindtree,3.7,IT Services & Consulting | Bangalore / Bengaluru +137 other locations,,"Promotions / Appraisal, Salary & Benefits",23700,480
